Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 13:31:29.999995	-110912.25709609795	-5839556.640491569	3711598.9062901717
2024-11-01 13:31:59.999993	52927.986029271415	-5753517.712694776	3844394.150164268
2024-11-01 13:32:29.999991	216710.97090667102	-5661255.102416267	3973019.369275898
2024-11-01 13:32:59.999989	380259.53776516893	-5562868.833424324	4097335.198065997
2024-11-01 13:33:29.999987	543396.7941907494	-5458465.560122194	4217206.965669374
2024-11-01 13:33:59.999986	705946.3074415665	-5348158.448181375	4332504.840488301
2024-11-01 13:34:29.999984	867732.2959379675	-5232067.0482556075	4443103.9692172045
2024-11-01 13:34:59.999982	1028579.8197153133	-5110317.162958251	4548884.610192206
2024-11-01 13:35:29.999980	1188314.9696375045	-4983040.707288307	4649732.260952703
2024-11-01 13:36:00.000019	1346765.2667465357	-4850375.38121608	4745537.904975334
2024-11-01 13:36:30.000017	1503759.0001083089	-4712465.23650885	4836197.620158273
2024-11-01 13:37:00.000015	1659126.6864997412	-4569459.450836379	4921613.459555621
2024-11-01 13:37:30.000013	1812700.4007805863	-4421512.868558957	5001693.033963792
2024-11-01 13:38:00.000012	1964314.1694850544	-4268785.6569294855	5076349.741042344
2024-11-01 13:38:30.000010	2113804.1486794855	-4111443.1312467423	5145502.856252361
2024-11-01 13:39:00.000008	2261008.7993157962	-3949655.5748287896	5209077.617441902
2024-11-01 13:39:30.000006	2405769.059925195	-3783598.0540034776	5267005.30302827
2024-11-01 13:40:00.000004	2547928.5164950485	-3613450.2283196724	5319223.303729096
2024-11-01 13:40:30.000003	2687333.569375636	-3439396.156184154	5365675.18780006
2024-11-01 13:41:00.000001	2823833.5970712313	-3261624.0961257657	5406310.759743491
2024-11-01 13:41:29.999999	2957281.116771077	-3080326.3038917147	5441086.112455865
2024-11-01 13:41:59.999997	3087531.9414893375	-2895698.825567712	5469963.672789049
2024-11-01 13:42:29.999996	3214445.3336599297	-2707941.286949843	5492912.240497371
2024-11-01 13:42:59.999994	3337884.155074694	-2517256.6793435444	5509907.020557076
2024-11-01 13:43:29.999992	3457715.0130334194	-2323851.141992361	5520929.648839819
2024-11-01 13:43:59.999990	3573808.402546345	-2127933.7413929366	5525968.211125003
2024-11-01 13:44:29.999988	3686038.8445227346	-1929716.2476100323	5525017.255449161
2024-11-01 13:44:59.999987	3794285.0197772128	-1729412.9078675413	5518077.797779872
2024-11-01 13:45:29.999985	3898429.8987505734	-1527240.2175974492	5505157.321014651
2024-11-01 13:45:59.999983	3998360.8668316603	-1323416.689144803	5486269.767304401
2024-11-01 13:46:29.999981	4093969.845153594	-1118162.618358346	5461435.5237062825
2024-11-01 13:47:00.000020	4185153.5260549653	-911699.571613471	5430681.355965101
2024-11-01 13:47:30.000018	4271813.001257854	-704251.2580229889	5394040.553776979
2024-11-01 13:48:00.000016	4353854.602369559	-496041.62908486486	5351552.648938114
2024-11-01 13:48:30.000014	4431189.507247704	-287295.745137223	5303263.531489083
2024-11-01 13:49:00.000013	4503733.96181835	-78239.25832765756	5249225.364882486
2024-11-01 13:49:30.000011	4571409.371438837	130901.82912607378	5189496.53185
2024-11-01 13:50:00.000009	4634142.386982036	339901.4072959168	5124141.573713778
2024-11-01 13:50:30.000007	4691864.985540576	548533.5012977301	5053231.123174286
2024-11-01 13:51:00.000005	4744514.545649382	756572.5142021249	4976841.830614003
2024-11-01 13:51:30.000004	4792033.91693147	963793.4698741052	4895056.283957793
2024-11-01 13:52:00.000002	4834371.484071626	1169972.2555009993	4807962.922138572
2024-11-01 13:52:30.000000	4871481.225025243	1374885.8635614966	4715655.942224672
2024-11-01 13:52:59.999998	4903322.763375409	1578312.6329954837	4618235.200267566
2024-11-01 13:53:29.999996	4929861.414753203	1780032.4893255238	4515806.1059365645
2024-11-01 13:53:59.999995	4951068.227238884	1979827.1834658054	4408479.51102041
2024-11-01 13:54:29.999993	4966920.015670045	2177480.5289793136	4296371.591869232
2024-11-01 13:54:59.999991	4977399.389782687	2372778.637503405	4179603.7258765716
2024-11-01 13:55:29.999989	4982494.776120708	2565510.152096447	4058302.362091528
2024-11-01 13:55:59.999987	4982200.43365225	2755466.478230345	3932598.886072505
2024-11-01 13:56:29.999986	4976516.46303895	2942442.01216129	3802629.4790982567
